Sale Identifier,Date,Book Title,Quantity,Unit Price,Total Price
36,2024-05-21,The Smartest Guys in the Room,1,46.31,46.31
36,2019-04-22,The New Jim Crow,2,21.5,43.0
36,2020-04-07,The Haunting of Hill House,1,37.53,37.53
36,2021-10-15,Outlive: The Science & Art of Longevity,2,22.17,44.34
37,2021-01-05,The Effective Executive,1,33.74,33.74
37,2019-08-09,Atlas of the Heart,1,20.63,20.63
38,2022-02-22,Complications,2,38.94,77.88
39,2025-10-17,Lab Girl,1,20.26,20.26
40,2020-10-16,Bad Feminist,1,43.57,43.57
41,2025-08-30,This is Marketing,3,49.37,148.11
41,2025-06-15,Twitter and Tear Gas: The Power and Fragility of Networked Protest,1,16.12,16.12
42,2021-10-24,Dune Messiah,3,26.65,79.95
43,2023-04-05,A People's History of the United States,1,32.45,32.45
44,2021-01-30,Tinker Tailor Soldier Spy,1,47.19,47.19
44,2025-11-19,Unbound: My Story of Liberation and the Birth of the Me Too Movement,1,32.15,32.15
45,2019-05-09,Writing Down the Bones,2,32.79,65.58
45,2025-02-13,The Lean Startup,2,40.85,81.7
45,2025-03-22,Cover Her Face,3,47.18,141.54
45,2020-09-24,The Happiness Advantage,3,30.23,90.69
46,2023-01-19,The Immortal Life of Henrietta Lacks,1,48.58,48.58
47,2024-03-23,Get Good with Money,3,27.46,82.38
48,2025-03-02,Against Crisis & Disaster,1,32.09,32.09
49,2025-04-20,How to Break Up with Your Phone,1,23.67,23.67
50,2019-06-20,The Word Is Murder,1,28.87,28.87
51,2019-05-26,Limits to Growth,2,37.02,74.04
51,2020-02-18,We Are Displaced,2,40.17,80.34
52,2021-10-18,Grit: The Power of Passion and Perseverance,1,30.68,30.68
52,2020-02-01,"Guns, Germs, and Steel",2,29.62,59.24
53,2020-02-27,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,2,28.93,57.86
54,2022-06-27,The Seven Principles for Making Marriage Work,1,48.91,48.91
55,2023-04-18,World Without Mind: The Existential Threat of Big Tech,2,14.34,28.68
55,2022-02-15,Walden,1,20.45,20.45
55,2023-02-22,War and Peace,3,11.88,35.64
55,2020-06-02,Educated: A Memoir,1,47.54,47.54
55,2020-10-20,Rosemary's Baby,1,40.47,40.47
55,2019-07-25,How Emotions Are Made,3,32.23,96.69
55,2024-04-26,Originals: How Non-Conformists Move the World,2,20.94,41.88
55,2020-02-20,Tinker Tailor Soldier Spy,2,14.64,29.28
55,2019-12-28,The Prince,3,30.91,92.73
55,2024-06-02,Becoming,2,33.0,66.0
55,2022-04-04,Influence: The Psychology of Persuasion,2,27.22,54.44
56,2022-11-24,Option B,1,47.66,47.66
57,2025-10-13,Shoe Dog,1,20.14,20.14
57,2023-04-02,The Thin Man,3,36.49,109.47
57,2024-01-24,Winners Take All: The Elite Charade of Changing the World,1,22.43,22.43
58,2023-09-04,What Do You Want To Do When You Grow Up?: Career Planning for the 21st Century,3,21.66,64.98
58,2023-10-19,One Hundred Years of Solitude,3,15.15,45.45
59,2022-03-31,Lab Girl,1,33.27,33.27
60,2021-08-22,The Only Game in Town,1,12.3,12.3
60,2025-12-04,Stillness Is the Key,1,36.34,36.34
60,2022-10-18,The Curious Incident of the Dog in the Night-Time,1,43.98,43.98
61,2020-11-24,Common Stocks and Uncommon Profits,3,17.77,53.31
62,2025-11-05,The Seven Spiritual Laws of Success,2,11.61,23.22
62,2025-12-05,Admissions: A Life in Brain Surgery,2,38.12,76.24
62,2023-01-09,Stolen Focus: Why You Can't Pay Attention—and How to Think Deeply Again,2,25.01,50.02
62,2022-01-08,Born a Crime,1,33.62,33.62
62,2019-05-20,The Prince,1,45.99,45.99
62,2020-12-03,Educated,1,22.98,22.98
62,2022-07-08,"Guns, Germs, and Steel",3,49.04,147.12
62,2022-11-29,The Richest Man in Babylon,3,41.37,124.11
62,2022-11-17,The Artist's Way,3,22.26,66.78
63,2022-04-08,The 48 Laws of Power,2,45.13,90.26
63,2023-08-11,And Then There Were None,1,17.16,17.16
64,2019-12-04,The Polyvagal Theory in Therapy,3,49.42,148.26
65,2025-12-03,Security Analysis,1,28.13,28.13
66,2022-03-13,Man's Search for Meaning,2,19.11,38.22
67,2024-05-17,Thrive,1,38.45,38.45
68,2019-03-23,Nicomachean Ethics,2,37.45,74.9
69,2021-07-27,Strangers on a Train,3,31.13,93.39
69,2025-07-18,Open,2,43.99,87.98
69,2020-07-11,Harry Potter and the Philosopher's Stone,1,31.63,31.63
69,2022-07-20,Killing Floor,1,28.12,28.12
69,2025-11-09,Leadership in Turbulent Times,2,11.49,22.98
69,2025-05-18,On Tyranny,1,34.84,34.84
69,2024-10-29,Villette,2,11.89,23.78
69,2020-10-31,The Automatic Millionaire,3,27.37,82.11
69,2021-09-06,Emotional Intelligence 2.0,2,24.06,48.12
69,2020-12-13,The Great Hack: How the Digital Takeover of Our Elections and Our Data Is Under Threat,3,20.9,62.7
69,2021-11-04,Rachel's Holiday,1,24.41,24.41
69,2025-01-12,Emotional Intelligence: Why It Can Matter More Than IQ,3,12.23,36.69
70,2024-10-16,Mating in Captivity,3,48.39,145.17
71,2020-01-13,The Attention Merchants,2,44.29,88.58
71,2023-06-09,Ubik,3,14.24,42.72
72,2025-08-10,Anna Karenina,1,47.65,47.65
72,2023-09-23,The Little Book of Market Myths,3,26.16,78.48
73,2023-09-19,Shoe Dog,2,21.51,43.02
74,2021-10-10,Meditations,3,26.86,80.58
74,2019-06-26,Stories of Your Life and Others,3,23.45,70.35
74,2022-05-15,A Liberated Mind: How to Pivot Toward What Truly Matters,1,39.72,39.72
75,2023-05-26,Behave: The Biology of Humans at Our Best and Worst,1,19.12,19.12
75,2022-03-24,Stamped from the Beginning,2,26.91,53.82
76,2019-10-10,Dare to Lead,1,20.12,20.12
77,2023-10-24,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,2,28.82,57.64
77,2019-12-09,Digital Minimalism: Choosing a Focused Life in a Noisy World,1,18.08,18.08
77,2020-07-16,A Brief History of Time,2,18.29,36.58
77,2020-03-12,How Emotions Are Made,1,49.08,49.08
77,2020-02-12,The Diary of a Young Girl,1,28.66,28.66
78,2025-09-11,The 5 Love Languages,2,42.88,85.76
78,2025-10-05,Underland,2,27.01,54.02
78,2023-02-09,Neuromancer,3,39.98,119.94
78,2025-12-04,Influence: The Psychology of Persuasion,1,14.67,14.67
78,2020-06-26,Rosemary's Baby,3,12.39,37.17
79,2025-01-06,Irrational Exuberance,1,25.77,25.77
80,2019-03-16,Neuromancer,1,43.86,43.86
80,2024-07-06,Why I'm No Longer Talking to White People About Race,3,31.27,93.81
81,2022-07-21,Homecoming: Reclaiming and Championing Your Inner Child,2,23.03,46.06
82,2022-01-07,Energy and Civilization: A History,1,19.38,19.38
82,2023-04-08,Norse Mythology,2,45.85,91.7
83,2020-08-22,Nudge,2,18.34,36.68
84,2025-06-17,Educated,3,32.99,98.97
84,2021-04-28,Leaders Eat Last,3,28.08,84.24
85,2022-05-27,Sapiens: A Graphic History,3,23.51,70.53
85,2023-04-15,Getting the Love You Want,3,15.78,47.34
86,2021-12-24,Awakenings,1,16.07,16.07
87,2022-11-15,We Are Displaced,3,49.41,148.23
88,2020-11-20,The Republic,3,18.63,55.89
89,2021-05-23,The Only Investment Guide You'll Ever Need,3,39.16,117.48
90,2025-09-20,Born a Crime,3,21.08,63.24
90,2021-08-11,Why I'm No Longer Talking to White People About Race,3,25.81,77.43
90,2025-11-03,Big Little Lies,3,46.33,138.99
91,2024-03-10,1776,1,21.77,21.77
92,2023-01-29,Alexander Hamilton,3,17.44,52.32
92,2021-03-26,The Undercover Economist,3,45.42,136.26
92,2019-03-14,Good and Mad: The Revolutionary Power of Women's Anger,3,38.98,116.94
92,2024-12-20,Digital Minimalism: Choosing a Focused Life in a Noisy World,3,18.17,54.51
92,2021-11-21,The Da Vinci Code,1,19.76,19.76
92,2024-09-21,The Word Is Murder,3,39.09,117.27
93,2019-03-15,Race After Technology,2,25.93,51.86
93,2019-01-06,Rachel's Holiday,3,46.3,138.9
93,2020-08-30,Beating the Street,3,24.35,73.05
93,2023-12-27,The Value of Everything: Making and Taking in the Global Economy,2,13.2,26.4
93,2023-10-19,Quiet: The Power of Introverts in a World That Can't Stop Talking,1,29.14,29.14
93,2023-05-17,My Life on the Road,3,40.11,120.33
94,2023-05-13,Becoming,3,22.89,68.67
95,2024-06-25,Killing Floor,3,26.16,78.48
95,2024-08-15,The Hobbit,1,49.16,49.16
95,2025-04-23,Humankind: A Hopeful History,1,19.46,19.46
96,2023-07-19,It Ends with Us,3,22.79,68.37
97,2024-09-21,The ONE Thing,1,23.64,23.64
98,2019-08-15,The Sixth Extinction,2,12.34,24.68
98,2020-09-06,Common Stocks and Uncommon Profits,3,42.33,126.99
99,2022-03-27,Villette,1,44.42,44.42
99,2019-09-16,Man's Search for Meaning,1,38.74,38.74
100,2023-04-11,Adrift: America in 100 Charts,3,22.01,66.03
100,2023-08-26,Greenlights,3,30.02,90.06
101,2024-11-28,A Walk in the Woods,3,48.9,146.7
101,2025-04-14,12 Rules for Life,3,22.59,67.77
102,2020-03-26,Principles for Dealing with the Changing World Order,1,31.98,31.98
103,2022-08-31,Orientalism,2,22.02,44.04
103,2025-01-12,How to Break Up with Your Phone,3,29.39,88.17
103,2019-04-25,The Divide: A Brief Guide to Global Inequality and its Solutions,3,33.0,99.0
103,2022-05-30,The Alchemist,3,17.94,53.82
103,2023-09-28,Financial Literacy for Beginners,3,10.23,30.69
103,2024-01-24,Love's Executioner,2,26.35,52.7
103,2021-05-11,12 Rules for Life,2,16.41,32.82
103,2024-10-11,The Da Vinci Code,3,48.15,144.45
103,2024-01-03,The Great Derangement: Climate Change and the Unthinkable,2,39.24,78.48
103,2021-06-07,Afford Anything,1,23.33,23.33
103,2021-05-02,Misbehaving: The Making of Behavioral Economics,3,10.92,32.76
104,2019-02-04,Mating in Captivity,1,43.57,43.57
104,2022-06-03,You Are a Badass at Making Money,2,33.27,66.54
105,2021-09-17,Sharp Objects,1,31.74,31.74
105,2023-06-30,Unbound: My Story of Liberation and the Birth of the Me Too Movement,2,28.7,57.4
106,2023-07-03,Pilgrim at Tinker Creek,3,42.68,128.04
106,2020-05-19,Crying in H Mart,1,37.4,37.4
106,2019-09-28,The Prophet,1,14.77,14.77
106,2019-02-22,Blink,3,29.21,87.63
106,2022-02-27,Falter: Has Human History Begun to End?,3,47.41,142.23
106,2024-12-31,Uncanny Valley,3,25.17,75.51
107,2021-09-28,The Willpower Instinct,1,20.09,20.09
108,2019-09-04,Race After Technology,2,33.91,67.82
109,2021-10-26,The Better Angels of Our Nature,2,27.34,54.68
109,2019-03-11,"Gone, Baby, Gone",1,24.95,24.95
109,2023-09-23,The Matarese Circle,1,21.91,21.91
110,2025-07-07,You Are a Badass at Making Money,2,42.59,85.18
110,2021-06-01,Dare to Lead,3,47.67,143.01
111,2025-12-26,My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies,3,37.12,111.36
111,2022-09-20,Originals: How Non-Conformists Move the World,2,23.76,47.52
112,2024-05-10,On Writing Well,3,49.0,147.0
112,2025-11-01,The 4-Hour Workweek,3,16.82,50.46
112,2024-06-16,The Most Important Thing: Uncommon Sense for the Thoughtful Investor,2,47.43,94.86
113,2024-12-05,Long Walk to Freedom,3,20.05,60.15
113,2024-03-09,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",2,41.41,82.82
113,2019-08-03,Trauma and Recovery,2,32.87,65.74
113,2023-05-02,Evicted: Poverty and Profit in the American City,3,40.25,120.75
113,2020-10-01,Saving Capitalism,3,48.67,146.01
113,2020-12-15,A Tale of Two Cities,2,15.11,30.22
114,2023-05-22,Norse Mythology,1,21.86,21.86
114,2022-09-21,The Way of Kings,2,13.61,27.22
114,2025-11-04,The Four Pillars of Investing,2,15.43,30.86
115,2019-02-04,Neuromancer,3,34.46,103.38
115,2019-08-21,The Second Sex,1,41.57,41.57
116,2023-08-05,Twitter and Tear Gas: The Power and Fragility of Networked Protest,2,32.11,64.22
116,2024-06-10,Sense and Sensibility,1,24.06,24.06
116,2019-06-16,Frankenstein,3,45.79,137.37
116,2025-07-01,Mindset: The New Psychology of Success,1,21.86,21.86
116,2023-06-06,A Walk in the Woods,3,29.71,89.13
117,2021-07-28,When Genius Failed,1,13.55,13.55
117,2020-05-17,The Da Vinci Code,3,48.48,145.44
117,2025-03-19,The Day of the Triffids,3,26.76,80.28
117,2020-12-12,The Five Dysfunctions of a Team,2,49.97,99.94
118,2025-08-17,Anna Karenina,1,14.09,14.09
119,2021-01-05,The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,1,22.12,22.12
120,2023-11-21,Know My Name: A Memoir,1,36.73,36.73
120,2023-06-23,Norse Mythology,1,42.0,42.0
121,2019-10-16,The Haunting of Hill House,3,44.34,133.02
122,2021-04-26,The Automatic Millionaire,1,30.64,30.64
122,2024-03-21,The Seven Spiritual Laws of Success,3,33.68,101.04
122,2025-07-30,Nudge,3,20.31,60.93
122,2023-02-05,Selected Poems,1,31.49,31.49
123,2020-01-11,The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,1,14.43,14.43
123,2019-08-11,Unbound: My Story of Liberation and the Birth of the Me Too Movement,1,22.97,22.97
123,2024-03-25,You Are a Badass at Making Money,2,27.64,55.28
124,2020-06-27,Norse Mythology,2,39.33,78.66
124,2024-08-02,The Selfish Gene,3,14.37,43.11
124,2021-10-08,Tiny Habits,2,49.21,98.42
125,2024-03-27,Love in the Time of Cholera,3,48.85,146.55
125,2025-10-05,Same as Ever: A Guide to What Never Changes,2,13.67,27.34
125,2023-11-06,The ONE Thing,2,40.11,80.22
125,2025-08-29,Underland,1,22.62,22.62
125,2023-01-10,I'm Glad My Mom Died,2,44.35,88.7
125,2021-12-27,The Girl on the Train,2,49.91,99.82
126,2019-10-27,The Cashflow Quadrant,3,37.08,111.24
126,2020-08-19,Predictably Irrational,1,47.3,47.3
126,2025-09-29,Arctic Dreams,3,37.49,112.47
126,2023-08-02,The War of Art,3,12.0,36.0
127,2021-12-17,Walden,2,39.37,78.74
128,2023-06-26,The Curious Incident of the Dog in the Night-Time,3,26.11,78.33
128,2019-12-19,Love's Executioner,2,39.1,78.2
128,2025-04-29,The Brothers Karamazov,2,17.75,35.5
128,2019-08-17,Arctic Dreams,1,30.06,30.06
129,2020-09-22,Thinking in Bets,3,28.04,84.12
130,2019-09-26,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",1,20.69,20.69
131,2019-08-17,The 5 Love Languages,2,34.19,68.38
132,2025-05-05,Bad Feminist,3,49.12,147.36
133,2025-08-13,The War of Art,2,15.42,30.84
134,2022-04-11,Harry Potter and the Chamber of Secrets,3,49.56,148.68
135,2023-12-26,Between the Stops,1,42.56,42.56
135,2020-07-27,Meditations,3,47.95,143.85
136,2024-03-09,The 4-Hour Workweek,3,45.33,135.99
136,2022-12-08,Sharp Objects,1,33.18,33.18
136,2025-08-06,The Hobbit,3,23.41,70.23
137,2020-05-03,Broke Millennial Takes On Investing,3,26.97,80.91
138,2022-09-24,The Great Derangement: Climate Change and the Unthinkable,1,26.4,26.4
138,2019-08-07,Harry Potter and the Chamber of Secrets,3,27.02,81.06
139,2020-11-01,Admissions: A Life in Brain Surgery,1,14.36,14.36
139,2024-01-28,Energy and Civilization: A History,2,28.88,57.76
140,2020-11-20,A Scanner Darkly,1,40.3,40.3
141,2021-11-21,The Ice Twins,2,30.03,60.06
142,2023-05-01,Mistborn,2,30.88,61.76
142,2025-05-15,The Sixth Extinction,3,31.55,94.65
142,2024-01-25,Smarter Faster Better,1,16.0,16.0
143,2021-06-30,Common Stocks and Uncommon Profits,1,34.63,34.63
144,2020-09-25,Never Let Me Go,2,49.15,98.3
145,2019-05-30,Nudge,3,46.43,139.29
145,2025-01-07,Money Master the Game,2,38.13,76.26
146,2023-05-13,Security Analysis,2,37.79,75.58
146,2021-04-28,Braiding Sweetgrass,2,12.48,24.96
147,2024-01-21,How to Do Nothing: Resisting the Attention Economy,1,40.22,40.22
147,2019-08-17,Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming,3,25.2,75.6
147,2021-07-31,The Little Book That Beats the Market,2,34.91,69.82
147,2023-06-25,The Innovator's Dilemma,1,12.12,12.12
147,2025-07-11,The Sixth Extinction,3,40.69,122.07
148,2024-03-27,What Color Is Your Parachute?,3,13.46,40.38
149,2021-06-14,No One Is Too Small to Make a Difference,1,32.97,32.97
150,2021-10-08,The Big Sleep,3,37.72,113.16
150,2025-10-18,The Talented Mr. Ripley,1,20.27,20.27
151,2024-12-13,The Big Sleep,1,18.69,18.69
152,2024-10-17,The World Is Flat,3,13.2,39.6
152,2020-06-11,Sapiens: A Graphic History,3,47.24,141.72
152,2025-11-22,Sense and Sensibility,1,40.71,40.71
153,2021-12-17,Analects,1,49.59,49.59
154,2025-10-31,The Fifth Season,3,41.65,124.95
154,2022-09-18,Cosmos,3,39.46,118.38
155,2022-03-09,Narrative of the Life of Frederick Douglass,3,47.89,143.67
155,2020-07-30,The War of the Worlds,2,47.25,94.5
156,2021-04-02,Contested Will,2,28.76,57.52
156,2024-05-24,Sapiens: A Graphic History,1,11.87,11.87
156,2019-06-28,Underland,1,48.33,48.33
157,2021-12-11,Boundary Boss,3,22.42,67.26
158,2025-10-22,Alexander Hamilton,2,28.66,57.32
159,2019-01-02,And Then There Were None,3,34.24,102.72
159,2023-05-31,Harry Potter and the Philosopher's Stone,3,46.34,139.02
160,2022-02-16,Freakonomics,1,10.27,10.27
160,2019-06-29,Between the Stops,2,48.43,96.86
160,2022-08-15,Against Crisis & Disaster,3,13.01,39.03
161,2025-03-30,Codependent No More,2,49.07,98.14
161,2021-07-29,Predictably Irrational,3,36.34,109.02
162,2021-08-11,Steve Jobs,2,45.89,91.78
162,2024-11-16,On Tyranny,2,47.43,94.86
162,2023-06-21,Atlas of the Heart,1,35.46,35.46
162,2025-09-08,The Only Game in Town,2,38.56,77.12
162,2025-05-08,The Ice Twins,2,35.02,70.04
162,2025-03-16,The Post-American World,3,48.13,144.39
163,2024-12-04,Noise: A Flaw in Human Judgment,2,35.25,70.5
164,2022-01-22,Influence: The Psychology of Persuasion,2,37.82,75.64
164,2024-01-14,Greenlights,1,39.47,39.47
164,2019-03-13,Three Weeks,2,25.88,51.76
165,2025-01-14,Team of Rivals,1,35.69,35.69
166,2019-10-23,A Random Walk Down Wall Street,1,12.82,12.82
167,2023-08-11,My Life on the Road,3,13.93,41.79
167,2024-08-15,"Set Boundaries, Find Peace",2,20.33,40.66
168,2021-08-06,Getting the Love You Want,1,42.83,42.83
168,2024-05-24,The Big Sleep,1,11.75,11.75
169,2021-09-26,Divergent,3,43.38,130.14
170,2022-11-29,The Millionaire Next Door,3,16.02,48.06
170,2019-02-15,The Artist's Way,2,30.48,60.96
171,2024-05-28,Born a Crime,3,46.73,140.19
172,2024-05-03,"Set Boundaries, Find Peace",1,39.17,39.17
173,2022-01-01,The Great Mental Models,1,22.65,22.65
174,2022-11-24,Smarter Faster Better,2,35.82,71.64
175,2022-12-01,The Great Derangement: Climate Change and the Unthinkable,1,10.8,10.8
175,2025-07-31,Facing Codependence,2,24.68,49.36
175,2022-10-05,I'm Glad My Mom Died,2,27.65,55.3
176,2024-07-18,Love's Executioner,2,35.86,71.72
177,2019-12-10,History of the Peloponnesian War,3,24.15,72.45
178,2025-06-08,Nicomachean Ethics,1,37.57,37.57
179,2020-08-15,The Happiness Trap,2,40.23,80.46
180,2021-02-18,The Da Vinci Code,1,30.25,30.25
180,2022-08-16,"Guns, Germs, and Steel",3,21.53,64.59
180,2022-01-29,Bridget Jones's Diary,2,27.38,54.76
181,2023-06-09,What Color Is Your Parachute?,3,22.52,67.56
181,2022-06-14,The Only Game in Town,2,36.86,73.72
181,2022-02-21,The 5 Love Languages,1,11.37,11.37
181,2020-04-24,Afford Anything,1,46.1,46.1
182,2025-07-15,Selected Poems,2,17.29,34.58
182,2020-05-28,What Do You Want To Do When You Grow Up?: Career Planning for the 21st Century,2,21.01,42.02
183,2019-07-18,The Little Book of Common Sense Investing,1,48.48,48.48
183,2024-11-21,Hope in the Dark,2,34.79,69.58
183,2020-04-12,Eloquent Rage: A Black Feminist Discovers Her Superpower,3,22.61,67.83
184,2023-07-05,Complex PTSD: From Surviving to Thriving,3,19.79,59.37
185,2024-07-20,A Promised Land,1,32.91,32.91
185,2020-03-31,The Curious Incident of the Dog in the Night-Time,2,36.16,72.32
186,2023-08-29,The 5 Love Languages,3,28.05,84.15
187,2024-07-12,Option B,3,18.47,55.41
187,2019-08-25,A Life on Our Planet,3,28.36,85.08
187,2023-04-19,How to Blow Up a Pipeline,2,13.05,26.1
188,2023-07-10,My Life on the Road,2,17.69,35.38
189,2025-01-30,Beating the Street,1,15.38,15.38
189,2020-01-25,Einstein: His Life and Universe,3,19.31,57.93
190,2025-10-10,Braiding Sweetgrass,3,36.75,110.25
191,2019-04-29,The Dispossessed,2,27.88,55.76
192,2020-09-28,Women Who Love Too Much,3,32.14,96.42
192,2021-04-21,Orientalism,2,25.45,50.9
192,2021-11-24,The 9 Steps to Financial Freedom,1,22.19,22.19
192,2019-12-06,One Hundred Years of Solitude,2,10.55,21.1
192,2025-12-25,The Great Mental Models,3,21.69,65.07
192,2022-02-05,Your Erroneous Zones,1,31.3,31.3
192,2019-08-31,Adrift: America in 100 Charts,3,32.71,98.13
192,2021-09-30,The 8th Habit,1,36.94,36.94
192,2020-09-17,How I Lost Money in Real Estate Before It Ever Had a Chance to Lose Mine,1,21.82,21.82
193,2020-01-21,A Brief History of Time,2,29.49,58.98
194,2019-09-05,1776,2,14.06,28.12
194,2023-03-04,Crime and Punishment,2,16.98,33.96
194,2019-05-07,"Farewell, My Lovely",1,35.38,35.38
194,2021-04-21,The Total Money Makeover,2,31.87,63.74
195,2019-01-22,The 48 Laws of Power,3,48.16,144.48
195,2020-07-24,The Curious Incident of the Dog in the Night-Time,2,10.81,21.62
196,2022-12-01,The Da Vinci Code,1,15.88,15.88
197,2025-05-25,Astrophysics for People in a Hurry,2,25.43,50.86
197,2025-01-24,The Battle for Paradise: Puerto Rico Stays Strong,1,16.26,16.26
198,2025-01-17,A Walk to Remember,1,49.73,49.73
199,2019-09-29,The Seven Spiritual Laws of Success,3,47.53,142.59
199,2025-05-01,The Day of the Triffids,1,48.52,48.52
199,2023-03-01,The Notebook,1,41.72,41.72
199,2020-08-01,A Walk to Remember,2,13.55,27.1
199,2022-05-29,Four Thousand Weeks: Time Management for Mortals,1,20.27,20.27
199,2019-10-01,I Will Teach You to Be Rich,1,30.91,30.91
200,2023-09-28,On Writing Well,2,13.42,26.84
200,2021-08-07,World Without Mind: The Existential Threat of Big Tech,1,11.26,11.26
200,2025-03-21,The Way of Kings,2,33.59,67.18
200,2020-04-17,The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,3,10.23,30.69
201,2021-09-21,Human Scale Development,3,29.05,87.15
202,2019-10-15,Your Erroneous Zones,1,17.54,17.54
202,2024-10-11,Soft Power,3,45.05,135.15
202,2021-04-20,The Talented Mr. Ripley,2,20.06,40.12
202,2025-03-31,Native American DNA: Tribal Belonging and the False Promise of Genetic Science,3,45.92,137.76
203,2023-10-11,Becoming,2,18.57,37.14
204,2021-02-21,The Republic,2,35.92,71.84
204,2022-05-28,A Promised Land,2,38.21,76.42
204,2022-04-02,Irrational Exuberance,1,39.6,39.6
205,2023-10-03,A Life on Our Planet,2,42.09,84.18
